rfp_id,full_spec,level1_spec,level2_spec,level3_spec
RFP_0822,500V 3C 6 sqmm Cu XLPE armoured cable as per IS 1554,3C Cu XLPE cable as per IS 1554,3C XLPE cable,XLPE cable
RFP_0823,1.1kV 3C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV 3C Cu cable as per IEC 60502-1,3C Cu cable,3C cable
RFP_0824,FR 440V 16C 1 sqmm Cu XLPE armoured cable as per IS 694,440V XLPE armoured cable as per IS 694,XLPE armoured cable,armoured cable
RFP_0825,1.1kV 6C 1 sqmm Cu PVC armoured cable as per BS 5308,1.1kV 1 sqmm armoured cable as per BS 5308,1.1kV 1 sqmm cable,1.1kV cable
RFP_0826,FRLS 1.1kV 3C 800 sqmm Al PVC armoured cable as per BS 5467,FRLS 3C Al cable as per BS 5467,FRLS 3C cable,3C cable
RFP_0827,600V 3.5C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,600V 3.5C 1.5 sqmm Cu cable,3. 1.5 sqmm Cu cable,3. Cu cable
RFP_0828,FR 1.1kV 1C 2.5 sqmm Cu PVC armoured cable as per IS 1554,FR 2.5 sqmm Cu armoured cable,FR armoured cable,armoured cable
RFP_0829,FRLS 500V 24C 1.5 sqmm Cu PVC armoured cable as per IS 1554,500V Cu armoured cable as per IS 1554,Cu cable as per IS 1554,Cu cable
RFP_0830,22kV 3C 50 sqmm Al XLPE armoured cable as per IEC 60502-2,22kV 3C Al XLPE cable,3C XLPE cable,3C cable
RFP_0831,FR 1.1kV 1C 16 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 16 sqmm Cu cable as per IEC 60502-1,16 sqmm cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0832,500V 10C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,10C 1 sqmm PVC armoured cable,1 sqmm armoured cable,1 sqmm cable
RFP_0833,LSZH 500V 14C 4 sqmm Cu PVC armoured cable as per IEC 60502-1,500V 14C armoured cable as per IEC 60502-1,14C cable as per IEC 60502-1,14C cable
RFP_0834,110kV 1C 500 sqmm Cu XLPE armoured cable as per IEC 60840,1C Cu XLPE armoured cable,1C XLPE cable,XLPE cable
RFP_0835,LSZH 66kV 1C 500 sqmm Al XLPE armoured cable as per IEC 60840,LSZH 66kV 1C Al cable,LSZH 66kV cable,66kV cable
RFP_0836,ZH 3.3kV 1C 95 sqmm Al XLPE armoured cable as per IS 7098-1,95 sqmm Al armoured cable as per IS 7098-1,Al armoured cable,Al cable
RFP_0837,110kV 1C 240 sqmm Al XLPE armoured cable as per IEC 60840,1C XLPE armoured cable as per IEC 60840,XLPE cable as per IEC 60840,cable as per IEC 60840
RFP_0838,LSZH 1.1kV 2C 4 sqmm Cu XLPE armoured cable as per IS 9968,2C 4 sqmm XLPE armoured cable,4 sqmm armoured cable,4 sqmm cable
RFP_0839,Fire Survival 440V 1C 25 sqmm Cu Mineral (MI) armoured cable as per BS 6387,440V 1C 25 sqmm Mineral (MI) cable as per BS 6387,440V Mineral (MI) cable as per BS 6387,440V Mineral (MI) cable
RFP_0840,FRLS 500V 30C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 1 sqmm Cu armoured cable,FRLS 1 sqmm cable,FRLS cable
RFP_0841,ZH 440V 5C 35 sqmm Cu XLPE armoured cable as per IS 694,ZH 440V 5C armoured cable,ZH 440V cable,440V cable
RFP_0842,FRLS 1.1kV 27C 4 sqmm Cu XLPE armoured cable as per BS 5308,27C 4 sqmm XLPE cable as per BS 5308,4 sqmm cable as per BS 5308,4 sqmm cable
RFP_0843,FRLS 440V 19C 1 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 1 sqmm Cu armoured cable,1 sqmm armoured cable,1 sqmm cable
RFP_0844,FRLS 500V 8C 0.75 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 500V 8C Cu cable,FRLS Cu cable,FRLS cable
RFP_0845,ZH 500V 3.5C 6 sqmm Cu XLPE armoured cable as per IS 694,3. Cu XLPE armoured cable as per IS 694,3. Cu XLPE cable,3. Cu cable
RFP_0846,Fire Survival 1.1kV 4C 95 sqmm Cu XLPE armoured cable as per IS 17048,95 sqmm Cu armoured cable as per IS 17048,Cu cable as per IS 17048,cable as per IS 17048
RFP_0847,FR 1.1kV 5C 25 sqmm Cu XLPE armoured cable as per IS 9968,25 sqmm Cu XLPE armoured cable,25 sqmm Cu cable,25 sqmm cable
RFP_0848,500V 10C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,500V 1 sqmm XLPE armoured cable,XLPE armoured cable,armoured cable
RFP_0849,FR 11kV 1C 300 sqmm Cu XLPE armoured cable as per IEC 60502-1,FR 11kV 1C armoured cable,11kV armoured cable,11kV cable
RFP_0850,ZH 1.1kV 4C 25 sqmm Cu XLPE armoured cable as per IEC 60502-1,4C 25 sqmm XLPE armoured cable,4C armoured cable,armoured cable
RFP_0851,FRLS 500V 8C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,8C 1 sqmm Cu armoured cable,Cu armoured cable,Cu cable
RFP_0852,Fire Survival 440V 3C 70 sqmm Cu Mineral (MI) armoured cable as per BS 6387,Fire Survival 3C 70 sqmm Mineral (MI) armoured cable,Fire Survival 3C Mineral (MI) cable,Fire Survival Mineral (MI) cable
RFP_0853,FRLS 500V 2C 95 sqmm Al XLPE armoured cable as per IS 1554,FRLS 2C Al cable as per IS 1554,Al cable as per IS 1554,cable as per IS 1554
RFP_0854,400kV 1C 185 sqmm Al XLPE armoured cable as per IEC 62067,400kV 185 sqmm Al armoured cable,400kV armoured cable,armoured cable
RFP_0855,440V 19C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,440V 1.5 sqmm XLPE cable as per IS 1554,1.5 sqmm XLPE cable,1.5 sqmm cable
RFP_0856,Fire Survival 1.1kV 1C 4 sqmm Cu Mineral (MI) armoured cable as per IEC 60331,1.1kV 1C Cu Mineral (MI) cable as per IEC 60331,1.1kV Mineral (MI) cable as per IEC 60331,1.1kV Mineral (MI) cable
RFP_0857,LSZH 300V 24C 0.75 sqmm Cu PVC armoured cable as per IEC 60502-1,300V 24C 0.75 sqmm armoured cable,0.75 sqmm armoured cable,armoured cable
RFP_0858,FRLS 1.1kV 8C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 1.1kV 8C XLPE cable,1.1kV 8C cable,8C cable
RFP_0859,FR 400kV 1C 630 sqmm Al XLPE armoured cable as per IEC 62067,FR 400kV 1C Al cable,1C Al cable,Al cable
RFP_0860,33kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 60502-2,33kV 1C Cu armoured cable,Cu armoured cable,Cu cable
RFP_0861,LSZH 1.1kV 5C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,LSZH Cu XLPE armoured cable,LSZH XLPE cable,XLPE cable
RFP_0862,ZH 66kV 1C 800 sqmm Cu XLPE armoured cable as per IS 7098-3,ZH 66kV armoured cable as per IS 7098-3,ZH 66kV cable,66kV cable
RFP_0863,FRLS 33kV 3C 300 sqmm Al XLPE armoured cable as per IEC 60502-2,Al XLPE armoured cable as per IEC 60502-2,XLPE cable as per IEC 60502-2,XLPE cable
RFP_0864,FR 500V 12C 0.5 sqmm Cu XLPE armoured cable as per BS 5308-1,FR 12C Cu XLPE cable,FR 12C cable,FR cable
RFP_0865,FRLS 500V 4C 6 sqmm Cu PVC armoured cable as per IS 694,500V 4C PVC armoured cable,500V 4C cable,500V cable
RFP_0866,FRLS 440V 27C 1.5 sqmm Cu PVC armoured cable as per IS 1554,440V 27C 1.5 sqmm armoured cable,440V armoured cable,armoured cable
RFP_0867,FRLS 6.6kV 3C 240 sqmm Cu XLPE armoured cable as per IEC 60502-1,6.6kV 240 sqmm Cu armoured cable,6.6kV armoured cable,6.6kV cable
RFP_0868,FR 500V 10C 1 sqmm Cu XLPE armoured cable as per BS 5308-1,FR 1 sqmm Cu cable as per BS 5308-1,FR Cu cable,Cu cable
RFP_0869,11kV 1C 120 sqmm Cu EPR armoured cable as per IEC 60502-1,11kV Cu EPR cable as per IEC 60502-1,EPR cable as per IEC 60502-1,EPR cable
RFP_0870,FRLS 440V 4C 16 sqmm Cu PVC armoured cable as per IS 694,FRLS Cu armoured cable as per IS 694,Cu cable as per IS 694,cable as per IS 694
RFP_0871,LSZH 500V 1C 300 sqmm Al XLPE armoured cable as per IS 1554,300 sqmm Al XLPE cable as per IS 1554,300 sqmm XLPE cable,XLPE cable
RFP_0872,LSZH 440V 2C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,440V 2.5 sqmm Cu XLPE cable,440V 2.5 sqmm cable,2.5 sqmm cable
RFP_0873,LSZH 300V 2C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,LSZH 300V 2C cable as per BS 5308-1,300V 2C cable,300V cable
RFP_0874,LSZH 1.1kV 24C 2.5 sqmm Cu PVC armoured cable as per IS 1554,24C Cu armoured cable as per IS 1554,24C cable as per IS 1554,24C cable
RFP_0875,FRLS 1.1kV 16C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV Cu XLPE armoured cable,Cu armoured cable,Cu cable
RFP_0876,1.1kV 2C 4 sqmm Cu XLPE armoured cable as per IS 1554,1.1kV XLPE armoured cable as per IS 1554,XLPE cable as per IS 1554,cable as per IS 1554
RFP_0877,Fire Survival 440V 2C 35 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival 440V 35 sqmm cable as per IEC 60331,Fire Survival cable as per IEC 60331,cable as per IEC 60331
RFP_0878,ZH 400kV 1C 185 sqmm Cu XLPE armoured cable as per IEC 62067,1C 185 sqmm XLPE cable as per IEC 62067,1C XLPE cable,XLPE cable
RFP_0879,Fire Survival 440V 3C 95 sqmm Cu XLPE armoured cable as per IEC 60331,Fire Survival 95 sqmm Cu cable as per IEC 60331,Fire Survival Cu cable,Fire Survival cable
RFP_0880,1.1kV 7C 6 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV 7C Cu cable as per IEC 60502-1,7C cable as per IEC 60502-1,7C cable
RFP_0881,FR 500V 8C 1.5 sqmm Cu PVC armoured cable as per BS 5308-1,500V 1.5 sqmm Cu PVC cable,500V PVC cable,500V cable
RFP_0882,ZH 440V 3C 2.5 sqmm Cu PVC armoured cable as per IEC 60245,3C 2.5 sqmm PVC cable as per IEC 60245,2.5 sqmm cable as per IEC 60245,cable as per IEC 60245
RFP_0883,FRLS 500V 24C 0.75 sqmm Cu XLPE armoured cable as per IEC 60502-1,FRLS 500V Cu armoured cable,FRLS Cu cable,FRLS cable
RFP_0884,FR 300V 6C 1 sqmm Cu PVC armoured cable as per BS 5308-1,FR 300V 6C 1 sqmm cable,300V 1 sqmm cable,1 sqmm cable
RFP_0885,ZH 500V 1C 120 sqmm Al XLPE armoured cable as per IS 1554,120 sqmm XLPE armoured cable as per IS 1554,armoured cable as per IS 1554,armoured cable
RFP_0886,FR 1.1kV 14C 1.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV 14C 1.5 sqmm armoured cable,1.1kV 14C cable,14C cable
RFP_0887,FR 500V 2C 400 sqmm Al XLPE armoured cable as per IS 1554,400 sqmm Al XLPE cable as per IS 1554,Al XLPE cable,XLPE cable
RFP_0888,FRLS 300V 1C 0.75 sqmm Cu PVC armoured cable as per IEC 60502-1,300V 1C Cu PVC cable,Cu PVC cable,Cu cable
RFP_0889,ZH 500V 4C 1.5 sqmm Cu PVC armoured cable as per IEC 60245,4C 1.5 sqmm Cu PVC cable,1.5 sqmm Cu cable,1.5 sqmm cable
RFP_0890,1.1kV 16C 1 sqmm Cu XLPE armoured cable as per IEC 60502-1,Cu XLPE armoured cable as per IEC 60502-1,Cu cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0891,300V 24C 0.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,300V Cu XLPE cable as per IEC 60502-1,300V XLPE cable,XLPE cable
RFP_0892,22kV 3C 150 sqmm Al XLPE armoured cable as per IS 7098-2,22kV 150 sqmm XLPE cable as per IS 7098-2,XLPE cable as per IS 7098-2,XLPE cable
RFP_0893,FRLS 440V 6C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 440V 2.5 sqmm cable as per IS 1554,2.5 sqmm cable as per IS 1554,cable as per IS 1554
RFP_0894,ZH 3.3kV 1C 95 sqmm Al XLPE armoured cable as per IS 7098-1,3.3kV 1C Al cable as per IS 7098-1,Al cable as per IS 7098-1,cable as per IS 7098-1
RFP_0895,LSZH 1.1kV 7C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV 7C 1 sqmm Cu cable,7C Cu cable,7C cable
RFP_0896,FR 500V 3C 300 sqmm Al XLPE armoured cable as per IS 1554,FR 500V 3C XLPE cable,FR 3C cable,3C cable
RFP_0897,LSZH 1.1kV 20C 0.75 sqmm Cu XLPE armoured cable as per IS 1554,20C Cu XLPE cable as per IS 1554,Cu cable as per IS 1554,cable as per IS 1554
RFP_0898,FRLS 440V 16C 6 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 6 sqmm armoured cable as per IS 1554,6 sqmm cable as per IS 1554,6 sqmm cable
RFP_0899,FR 1.1kV 4C 4 sqmm Cu PVC armoured cable as per IEC 60502-1,FR 1.1kV 4C cable as per IEC 60502-1,FR 4C cable,FR cable
RFP_0900,Fire Survival 1.1kV 4C 2.5 sqmm Cu Mineral (MI) armoured cable as per BS 6387,Fire Survival 4C Cu Mineral (MI) armoured cable,Fire Survival 4C Mineral (MI) cable,4C Mineral (MI) cable
RFP_0901,FR 11kV 1C 400 sqmm Al XLPE armoured cable as per IEC 60502-1,FR 400 sqmm armoured cable as per IEC 60502-1,400 sqmm armoured cable,armoured cable
RFP_0902,LSZH 1.1kV 3C 240 sqmm Al XLPE armoured cable as per IEC 60502-1,LSZH 240 sqmm Al XLPE cable,Al XLPE cable,Al cable
RFP_0903,FR 132kV 1C 1000 sqmm Al XLPE armoured cable as per IEC 60840,FR 132kV 1C XLPE cable,132kV 1C cable,132kV cable
RFP_0904,LSZH 220kV 1C 800 sqmm Al XLPE armoured cable as per IEC 62067,LSZH 1C 800 sqmm armoured cable,1C armoured cable,armoured cable
RFP_0905,ZH 110kV 1C 800 sqmm Al XLPE armoured cable as per IEC 60840,ZH 110kV 1C armoured cable,ZH 110kV cable,110kV cable
RFP_0906,FRLS 1.1kV 10C 0.5 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 10C Cu armoured cable,FRLS Cu cable,Cu cable
RFP_0907,FR 1.1kV 27C 4 sqmm Cu PVC armoured cable as per BS 5308,FR 1.1kV PVC armoured cable,FR armoured cable,FR cable
RFP_0908,ZH 132kV 1C 185 sqmm Cu XLPE armoured cable as per IEC 60840,ZH 1C armoured cable as per IEC 60840,ZH cable as per IEC 60840,ZH cable
RFP_0909,LSZH 220kV 1C 240 sqmm Al XLPE armoured cable as per IEC 62067,LSZH 240 sqmm Al cable as per IEC 62067,240 sqmm Al cable,Al cable
RFP_0910,FRLS 300V 20C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1,FRLS 20C armoured cable as per IEC 60502-1,20C cable as per IEC 60502-1,20C cable
RFP_0911,500V 2C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1,500V Cu armoured cable as per BS 5308-1,500V armoured cable,500V cable
RFP_0912,500V 2C 4 sqmm Cu XLPE armoured cable as per IS 1554,500V 2C 4 sqmm Cu cable,500V 4 sqmm cable,500V cable
RFP_0913,FRLS 1.1kV 7C 4 sqmm Cu XLPE armoured cable as per IS 1554,1.1kV 7C 4 sqmm XLPE cable,7C XLPE cable,7C cable
RFP_0914,1.1kV 3C 1.5 sqmm Cu XLPE armoured cable as per BS 5308,3C Cu armoured cable as per BS 5308,Cu armoured cable,armoured cable
RFP_0915,3.3kV 3C 185 sqmm Cu EPR armoured cable as per IS 7098-1,185 sqmm Cu armoured cable as per IS 7098-1,Cu armoured cable,armoured cable
RFP_0916,FRLS 440V 19C 4 sqmm Cu PVC armoured cable as per IS 694,19C 4 sqmm armoured cable as per IS 694,4 sqmm cable as per IS 694,cable as per IS 694
RFP_0917,FRLS 132kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 60840,FRLS 1000 sqmm Cu XLPE cable,FRLS XLPE cable,FRLS cable
RFP_0918,LSZH 500V 1C 4 sqmm Cu PVC armoured cable as per IS 694,500V 4 sqmm Cu cable as per IS 694,4 sqmm cable as per IS 694,cable as per IS 694
RFP_0919,LSZH 1.1kV 24C 0.75 sqmm Cu PVC armoured cable as per BS 5308-1,1.1kV 0.75 sqmm PVC armoured cable,PVC armoured cable,armoured cable
RFP_0920,500V 4C 1.5 sqmm Cu XLPE armoured cable as per BS 5308-1,500V XLPE armoured cable as per BS 5308-1,XLPE armoured cable,armoured cable
RFP_0921,ZH 132kV 1C 240 sqmm Al XLPE armoured cable as per IEC 60840,ZH Al XLPE cable as per IEC 60840,XLPE cable as per IEC 60840,XLPE cable
RFP_0922,LSZH 1.1kV 30C 1 sqmm Cu XLPE armoured cable as per BS 5308,1.1kV 1 sqmm XLPE armoured cable,1 sqmm XLPE cable,XLPE cable
RFP_0923,Fire Survival 1.1kV 1C 4 sqmm Cu Mineral (MI) armoured cable as per IS 17048,Fire Survival 1.1kV Cu Mineral (MI) cable as per IS 17048,Fire Survival Mineral (MI) cable as per IS 17048,Mineral (MI) cable as per IS 17048
RFP_0924,300V 24C 2.5 sqmm Cu PVC armoured cable as per BS 5308-1,24C 2.5 sqmm Cu armoured cable,2.5 sqmm Cu cable,2.5 sqmm cable
RFP_0925,220kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 62067,220kV 1C Cu XLPE cable,220kV 1C cable,220kV cable
RFP_0926,FRLS 500V 5C 4 sqmm Cu PVC armoured cable as per IEC 60245,4 sqmm Cu PVC cable as per IEC 60245,4 sqmm cable as per IEC 60245,4 sqmm cable
RFP_0927,FR 500V 3C 1.5 sqmm Cu PVC armoured cable as per IS 694,500V 3C 1.5 sqmm PVC cable,3C 1.5 sqmm cable,1.5 sqmm cable
RFP_0928,FR 1.1kV 10C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,FR 1.1kV XLPE armoured cable,FR armoured cable,armoured cable
RFP_0929,Fire Survival 1.1kV 2C 16 sqmm Cu Mineral (MI) armoured cable as per BS 6387,Fire Survival 1.1kV 2C Mineral (MI) cable as per BS 6387,2C Mineral (MI) cable as per BS 6387,Mineral (MI) cable as per BS 6387
RFP_0930,Fire Survival 440V 4C 95 sqmm Cu Mineral (MI) armoured cable as per BS 6387,4C 95 sqmm Mineral (MI) armoured cable as per BS 6387,4C 95 sqmm Mineral (MI) cable,4C Mineral (MI) cable
RFP_0931,Fire Survival 440V 1C 35 sqmm Cu XLPE armoured cable as per IEC 60331,35 sqmm Cu XLPE cable as per IEC 60331,35 sqmm XLPE cable,35 sqmm cable
RFP_0932,FRLS 132kV 1C 800 sqmm Cu XLPE armoured cable as per IEC 60840,132kV 1C Cu XLPE cable,1C XLPE cable,1C cable
RFP_0933,FR 500V 3C 6 sqmm Cu PVC armoured cable as per IS 694,FR PVC armoured cable as per IS 694,FR PVC cable,FR cable
RFP_0934,FR 1.1kV 5C 2.5 sqmm Cu XLPE armoured cable as per IS 9968,FR 1.1kV armoured cable as per IS 9968,FR cable as per IS 9968,cable as per IS 9968
RFP_0935,66kV 1C 185 sqmm Cu XLPE armoured cable as per IS 7098-3,66kV 1C 185 sqmm cable as per IS 7098-3,1C cable as per IS 7098-3,cable as per IS 7098-3
RFP_0936,FR 440V 3C 1 sqmm Cu PVC armoured cable as per IS 694,FR 440V 3C PVC cable,FR 440V cable,440V cable
RFP_0937,1.1kV 16C 1.5 sqmm Cu PVC armoured cable as per IS 1554,1.1kV 1.5 sqmm Cu PVC cable,1.5 sqmm PVC cable,PVC cable
RFP_0938,LSZH 1.1kV 8C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV 1.5 sqmm armoured cable as per IEC 60502-1,1.5 sqmm cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0939,FRLS 440V 3C 16 sqmm Cu XLPE armoured cable as per IS 9968,FRLS 3C 16 sqmm armoured cable,3C armoured cable,armoured cable
RFP_0940,FR 440V 8C 6 sqmm Cu PVC armoured cable as per IS 1554,440V 8C 6 sqmm Cu cable,440V Cu cable,Cu cable
RFP_0941,Fire Survival 440V 2C 10 sqmm Cu Mineral (MI) armoured cable as per IEC 60331,Fire Survival 440V 2C Mineral (MI) armoured cable,Fire Survival 440V Mineral (MI) cable,Fire Survival Mineral (MI) cable
RFP_0942,LSZH 1.1kV 24C 1.5 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH PVC armoured cable as per IEC 60502-1,PVC armoured cable,armoured cable
RFP_0943,FRLS 1.1kV 10C 1.5 sqmm Cu XLPE armoured cable as per IS 1554,1.1kV 1.5 sqmm Cu cable as per IS 1554,1.5 sqmm Cu cable,1.5 sqmm cable
RFP_0944,LSZH 440V 4C 630 sqmm Al PVC armoured cable as per IEC 60502-1,LSZH 440V 4C 630 sqmm cable,LSZH 630 sqmm cable,LSZH cable
RFP_0945,LSZH 110kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 60840,110kV 1C 400 sqmm cable as per IEC 60840,110kV 400 sqmm cable,400 sqmm cable
RFP_0946,FRLS 500V 16C 1.5 sqmm Cu PVC armoured cable as per IS 1554,500V 16C armoured cable as per IS 1554,500V cable as per IS 1554,500V cable
RFP_0947,FR 440V 3C 70 sqmm Cu XLPE armoured cable as per IS 694,440V XLPE armoured cable as per IS 694,XLPE cable as per IS 694,XLPE cable
RFP_0948,FRLS 110kV 1C 300 sqmm Al XLPE armoured cable as per IEC 60840,1C 300 sqmm armoured cable as per IEC 60840,300 sqmm armoured cable,300 sqmm cable
RFP_0949,LSZH 1.1kV 4C 1 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH 1.1kV 4C armoured cable,LSZH 1.1kV cable,1.1kV cable
RFP_0950,LSZH 300V 4C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 4C 2.5 sqmm Cu cable,4C Cu cable,4C cable
RFP_0951,1.1kV 6C 0.5 sqmm Cu PVC armoured cable as per IEC 60502-1,1.1kV 6C 0.5 sqmm armoured cable,6C 0.5 sqmm cable,0.5 sqmm cable
RFP_0952,LSZH 11kV 1C 240 sqmm Al EPR armoured cable as per IS 7098-1,11kV 240 sqmm EPR cable as per IS 7098-1,11kV cable as per IS 7098-1,11kV cable
RFP_0953,FR 132kV 1C 300 sqmm Cu XLPE armoured cable as per IEC 60840,1C Cu XLPE armoured cable,1C armoured cable,1C cable
RFP_0954,FRLS 3.3kV 3C 300 sqmm Al XLPE armoured cable as per IEC 60502-1,3C 300 sqmm armoured cable as per IEC 60502-1,3C armoured cable,3C cable
RFP_0955,LSZH 132kV 1C 800 sqmm Al XLPE armoured cable as per IEC 60840,132kV 800 sqmm Al cable as per IEC 60840,Al cable as per IEC 60840,cable as per IEC 60840
RFP_0956,LSZH 1.1kV 7C 4 sqmm Cu XLPE armoured cable as per IEC 60502-1,LSZH 7C Cu cable as per IEC 60502-1,Cu cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0957,FR 6.6kV 1C 185 sqmm Cu EPR armoured cable as per IS 7098-1,FR 1C Cu EPR cable,1C Cu cable,1C cable
RFP_0958,ZH 600V 3.5C 120 sqmm Al PVC armoured cable as per IEC 60502-1,ZH 3. 120 sqmm PVC armoured cable,3. 120 sqmm armoured cable,3. 120 sqmm cable
RFP_0959,LSZH 132kV 1C 630 sqmm Cu XLPE armoured cable as per IEC 60840,LSZH 132kV Cu armoured cable,LSZH armoured cable,armoured cable
RFP_0960,110kV 1C 400 sqmm Cu XLPE armoured cable as per IEC 60840,110kV 400 sqmm armoured cable as per IEC 60840,110kV cable as per IEC 60840,cable as per IEC 60840
RFP_0961,FRLS 500V 12C 2.5 sqmm Cu XLPE armoured cable as per IS 1554,FRLS 2.5 sqmm armoured cable as per IS 1554,2.5 sqmm armoured cable,armoured cable
RFP_0962,ZH 220kV 1C 500 sqmm Al XLPE armoured cable as per IEC 62067,1C 500 sqmm XLPE cable as per IEC 62067,XLPE cable as per IEC 62067,cable as per IEC 62067
RFP_0963,ZH 6.6kV 3C 300 sqmm Al XLPE armoured cable as per IS 7098-1,ZH 6.6kV XLPE armoured cable,6.6kV armoured cable,armoured cable
RFP_0964,22kV 1C 120 sqmm Al XLPE armoured cable as per IEC 60502-2,Al XLPE armoured cable as per IEC 60502-2,Al cable as per IEC 60502-2,Al cable
RFP_0965,LSZH 300V 20C 0.75 sqmm Cu PVC armoured cable as per IEC 60502-1,LSZH 300V 0.75 sqmm Cu cable,LSZH 300V cable,LSZH cable
RFP_0966,LSZH 1.1kV 12C 1.5 sqmm Cu PVC armoured cable as per BS 5308-1,1.1kV 1.5 sqmm PVC armoured cable,1.1kV armoured cable,1.1kV cable
RFP_0967,Fire Survival 1.1kV 2C 6 sqmm Cu Mineral (MI) armoured cable as per BS 6387,Fire Survival 1.1kV 2C Cu Mineral (MI) cable,Fire Survival Cu Mineral (MI) cable,Fire Survival Mineral (MI) cable
RFP_0968,FRLS 1.1kV 7C 2.5 sqmm Cu XLPE armoured cable as per BS 5308,1.1kV 7C Cu armoured cable,1.1kV 7C cable,7C cable
RFP_0969,FR 500V 2C 16 sqmm Cu PVC armoured cable as per IEC 60245,500V Cu PVC cable as per IEC 60245,Cu PVC cable,Cu cable
RFP_0970,300V 12C 2.5 sqmm Cu XLPE armoured cable as per BS 5308-1,300V 12C Cu cable as per BS 5308-1,12C cable as per BS 5308-1,12C cable
RFP_0971,FR 66kV 1C 630 sqmm Cu XLPE armoured cable as per IS 7098-3,FR 630 sqmm Cu armoured cable,FR 630 sqmm cable,FR cable
RFP_0972,FR 300V 16C 0.75 sqmm Cu PVC armoured cable as per IEC 60502-1,16C 0.75 sqmm armoured cable as per IEC 60502-1,armoured cable as per IEC 60502-1,cable as per IEC 60502-1
RFP_0973,LSZH 440V 5C 2.5 sqmm Cu XLPE armoured cable as per IS 9968,440V 5C 2.5 sqmm cable as per IS 9968,440V 2.5 sqmm cable,440V cable
RFP_0974,FRLS 66kV 1C 1000 sqmm Cu XLPE armoured cable as per IEC 60840,1C 1000 sqmm Cu armoured cable,1000 sqmm armoured cable,1000 sqmm cable
RFP_0975,Fire Survival 1.1kV 1C 35 sqmm Cu Mineral (MI) armoured cable as per BS 6387,1C Cu Mineral (MI) armoured cable as per BS 6387,1C Mineral (MI) armoured cable,1C Mineral (MI) cable
RFP_0976,LSZH 300V 2C 0.5 sqmm Cu PVC armoured cable as per BS 5308-1,LSZH 0.5 sqmm Cu cable as per BS 5308-1,LSZH cable as per BS 5308-1,cable as per BS 5308-1
RFP_0977,FRLS 500V 5C 4 sqmm Cu PVC armoured cable as per IS 1554,FRLS 500V Cu armoured cable,FRLS armoured cable,armoured cable
RFP_0978,LSZH 1.1kV 19C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,1.1kV 19C 2.5 sqmm cable as per IEC 60502-1,1.1kV 19C cable,1.1kV cable
RFP_0979,FR 3.3kV 3C 185 sqmm Al XLPE armoured cable as per IS 7098-1,FR 3.3kV 185 sqmm Al cable,3.3kV 185 sqmm cable,185 sqmm cable
RFP_0980,LSZH 300V 8C 2.5 sqmm Cu XLPE armoured cable as per IEC 60502-1,8C 2.5 sqmm XLPE cable as per IEC 60502-1,8C XLPE cable,8C cable
RFP_0981,ZH 66kV 1C 800 sqmm Al XLPE armoured cable as per IS 7098-3,1C Al XLPE cable as per IS 7098-3,1C Al cable,1C cable
